通番,事業所名称,電話番号,FAX番号,事業所郵便番号,事業所所在地,法人名称,身体,知的,精神,難病,,
1,フラワーズ,06-6743-6578,06-6743-6578,577-0011,大阪府東大阪市荒本北二丁目２番３７号ハイムリップルパートＶ１Ｆ,合同会社 ＯＨＡＮＡ,○,○,○,○,20,
2,ライフケア,06-4309-7374,06-4309-7374,577-0012,大阪府東大阪市長田東二丁目２番３号長田エストビル３０２号室,株式会社 ライフケア,○,○,○,○,20,
3,障がい就労支援エイティオー,06-6746-6750,06-6746-6751,577-0012,大阪府東大阪市長田東二丁目２番１号木村第一ビル２０２号,エイティオー株式会社,○,○,○,○,20,
4,アドバンス,06-6748-0827,06-6748-0827,577-0013,大阪府東大阪市長田中二丁目２番３０号長田エミネンスビル５階ＥＦ号室,株式会社 ライフケア,○,○,○,○,20,
5,プレサント,06-6748-0255,06-6748-0256,577-0013,大阪府東大阪市長田中一丁目４番１２号イマザキマンションエヌワン２階Ｃ号Ｄ号,株式会社 プレサント,○,○,○,○,20,
6,ＪＯＹＦＵＬ,06-4308-5332,,577-0045,大阪府東大阪市西堤本通東三丁目４番２６号,一般社団法人 障碍者自立支援協会ぼんど,○,○,○,○,20,
7,就労支援事業所フリー,06-6753-8111,06-6753-8111,577-0056,大阪府東大阪市長堂一丁目２番２０号陣内興産ビル３階,株式会社 フリー,○,○,○,○,10,○
8,エクート,06-6743-7328,06-6743-7329,577-0056,大阪府東大阪市長堂三丁目１８番４号今中ビル３階,株式会社 千手,○,○,○,○,20,
9,就労支援事業所 ａｓｉｓ,06-6618-6666,06-6618-6969,577-0067,大阪府東大阪市高井田西六丁目１番３１号高井田シグマビル４階Ａ,アール・エス・シーホールディングス株式会社,○,○,○,○,10,○
10,アイディアルサポート,06-6730-9930,06-6730-9931,577-0802,大阪府東大阪市小阪本町一丁目２番８号小阪ビル２階２－２,株式会社 アイディアルサポート,○,○,○,○,20,
11,ＩＮＯ,06-4307-5788,06-4307-5799,577-0807,大阪府東大阪市菱屋西二丁目２番１７号仁科ビル １階,株式会社 ＩＮＯ,○,○,○,○,10,○
12,ツナグ工房／ツナグ茶房,06-6785-7488,06-6785-7480,577-0809,大阪府東大阪市永和一丁目２５番１号Ｃｅｌｅｂ布施東１階１０２号室,株式会社 ＴＳＵＮＡＧＵ,○,○,○,○,10,○
13,サンクエール,06-6785-7673,06-6726-0067,577-0818,大阪府東大阪市小若江三丁目８番１号,株式会社 空と海,○,○,○,,20,
14,ワークセンターえがお,06-6730-9980,06-6730-9981,577-0821,大阪府東大阪市吉松二丁目４番１０号ベルハイム長瀬駅前１Ｆ,株式会社 アークサービス,○,○,○,○,20,
15,すまいるワークセンター,06-6785-5400,06-6727-7788,577-0843,大阪府東大阪市荒川三丁目２６番１５号ロイヤル俊徳１０３号,株式会社 アークサービス,○,○,○,○,15,
16,就労生活サポートセンターはなはな,06-7494-7626,06-7494-7626,578-0935,大阪府東大阪市若江東町二丁目３番２６号,特定非営利活動法人 ふたつの花,○,○,○,○,20,
17,ワークワーク,072-966-6660,072-966-9922,578-0984,大阪府東大阪市菱江一丁目１６番３７号,一般社団法人 ワークワーク,○,○,○,○,20,