申請者－名称,事業所名称,事業所郵便番号,事業所所在地,区名,事業所－電話番号,事業所－FAX番号,サービス種類,事業所番号,指定年月日,対象-身体障害者,対象-知的障害者,対象-障害児,対象-精神障害者
ＮＰＯ法人ｋｏｋｏｉｍａ,おめでたい,590-0011,大阪府堺市堺区香ケ丘町一丁9番1号,堺区,072-220-5458,072-220-5458,生活介護,2716002155,平成29年8月1日,あり,あり,なし,あり
株式会社 はるかぜコミュニケーション,はるかぜ作業所,590-0011,大阪府堺市堺区香ヶ丘町一丁4番9号,堺区,072-269-4429,072-269-4429,生活介護,2716002585,令和元年6月1日,あり,あり,なし,あり
株式会社はるかぜコミュニケーション,ケアセンターはるかぜ,590-0011,大阪府堺市堺区香ヶ丘町一丁5番32号 Ａ棟,堺区,072-269-4429,072-269-4430,生活介護,2716001207,平成24年4月1日,あり,あり,なし,あり
株式会社はるかぜコミュニケーション,第３ケアセンターはるかぜ,590-0011,大阪府堺市堺区香ヶ丘町一丁5番32号 B棟,堺区,072-238-2335,072-238-2339,生活介護,2716003328,令和6年3月1日,あり,あり,なし,あり
有限会社 アムジー,ハッピーポケット,590-0011,大阪府堺市堺区香ケ丘町四丁2番38号,堺区,072-232-5717,072-202-0696,生活介護,2716001538,平成25年11月1日,あり,あり,なし,あり
社会福祉法人 朋志美会,しののめハウス,590-0013,大阪府堺市堺区東雲西町四丁6番20号,堺区,072-222-5131,072-222-5202,生活介護,2716500323,令和3年5月1日,なし,なし,なし,あり
株式会社 ニチイ学館,ニチイケアセンターベルマージュ堺,590-0014,大阪府堺市堺区田出井町1番2-100号 ベルマージュ堺弐番館,堺区,072-282-8031,072-282-8032,生活介護,2716002551,平成31年4月1日,あり,あり,なし,あり
ＭＭＲ泉株式会社,小規模多機能型居宅介護 恵乃郷,590-0018,大阪府堺市堺区今池町六丁4番7号,堺区,072-226-5151,072-226-5152,生活介護,2716002437,平成30年12月1日,あり,あり,なし,あり
社会福祉法人 自立支援協会,南部交流センター,590-0018,大阪府堺市堺区今池町四丁7番33号,堺区,072-238-6541,072-229-8159,生活介護,2716000894,平成22年5月1日,あり,あり,なし,あり
シャローム 株式会社,やすらぎサロン,590-0801,大阪府堺市堺区大仙中町7番12号,堺区,072-245-1707,072-245-1708,生活介護,2716003096,令和4年9月1日,あり,なし,なし,なし
社会福祉法人 サライ福祉会,サライ,590-0802,大阪府堺市堺区百舌鳥夕雲町二丁237番地1,堺区,072-247-3373,072-247-3372,生活介護,2716000779,平成21年7月1日,あり,あり,なし,なし
社会福祉法人 大阪府障害者福祉事業団,じょぶライフだいせん,590-0808,大阪府堺市堺区旭ケ丘中町四丁2番1号,堺区,072-245-7485,072-245-7486,生活介護,2716000555,平成19年6月1日,あり,あり,なし,あり
社会福祉法人三篠会,堺市立重症心身障害者（児）支援センター ベルデさかい,590-0808,大阪府堺市堺区旭ケ丘中町四丁3番1号,堺区,072-275-8510,072-243-5900,生活介護,2716001256,平成24年5月1日,あり,あり,なし,なし
社会福祉法人サワリ,共生型生活介護 ピパ,590-0811,大阪府堺市堺区南陵町一丁2-6,堺区,072-280-0830,072-241-7772,生活介護,2716003203,令和5年6月1日,あり,あり,なし,あり
社会福祉法人 コスモス,おおはま障害者作業所,590-0829,大阪府堺市堺区東湊町五丁276番,堺区,072-241-1900,072-241-1901,生活介護,2716000498,平成19年3月1日,なし,あり,なし,なし
社会福祉法人 コスモス,第２おおはま障害者作業所,590-0829,大阪府堺市堺区東湊町四丁237番1,堺区,072-243-0750,072-243-0751,生活介護,2716002510,平成31年4月1日,なし,あり,なし,なし
特定非営利活動法人 きずなの会,デイサービスステーションきずなの会,590-0835,大阪府堺市堺区西湊町六丁4番3号,堺区,072-243-7600,072-243-7608,生活介護,2716003070,令和4年9月1日,あり,あり,なし,あり
株式会社 アイスマイル,生活介護・ニコライズ,590-0938,大阪府堺市堺区神明町西一丁1番1号,堺区,072-225-0371,072-225-0372,生活介護,2716002734,令和2年9月1日,なし,あり,なし,あり
株式会社 ＣＬＡＮ,ＣＬＡＮ堺,590-0964,大阪府堺市堺区新在家町東4丁1番3号,堺区,072-225-5850,072-225-5852,生活介護,2716002643,令和2年1月1日,あり,あり,なし,あり
社会福祉法人堺市社会福祉事業団,堺市立健康福祉プラザ 生活リハビリテーションセンター,590-0808,大阪府堺市堺区旭ケ丘中町四丁3番1号 堺市立健康福祉プラザ4階,堺区,072-275-5019,072-243-0202,自立訓練（機能訓練）,2716001231,平成24年5月1日,あり,なし,なし,なし
公益財団法人浅香山病院,アンダンテ就労ステーション,590-0018,大阪府堺市堺区今池町三丁3番16号,堺区,072-229-9192,072-223-5119,自立訓練（生活訓練）,2716000670,令和6年4月1日,なし,なし,なし,あり
特定非営利活動法人み・らいず２,み・らいずワークス 三国ヶ丘,590-0024,大阪府堺市堺区向陵中町四丁5-27 中谷ビル2階 201号室,堺区,050-5444-5493,,自立訓練（生活訓練）,2716003344,令和6年4月1日,なし,あり,なし,あり
株式会社Ｒｏｄｉｎａ,リワークセンター堺,590-0075,大阪府堺市堺区南花田口町二丁3番20号 三共堺東ビル6階,堺区,072-221-8900,072-221-8901,自立訓練（生活訓練）,2716003393,令和6年6月1日,あり,あり,なし,あり
社会福祉法人堺市社会福祉事業団,堺市立健康福祉プラザ 生活リハビリテーションセンター,590-0808,大阪府堺市堺区旭ケ丘中町四丁3番1号 堺市立健康福祉プラザ4階,堺区,072-275-5019,072-243-0202,自立訓練（生活訓練）,2716001231,平成24年5月1日,なし,なし,なし,あり
株式会社ワークプラス,ワークプラスはるかぜ,590-0006,大阪府堺市堺区錦綾町三丁7番5号,堺区,072-222-2733,072-222-2744,就労移行支援（一般型）,2716002098,平成29年4月1日,あり,あり,なし,あり
公益財団法人浅香山病院,アンダンテ就労ステーション,590-0018,大阪府堺市堺区今池町三丁3番16号,堺区,072-229-9192,072-223-5119,就労移行支援（一般型）,2716000670,平成20年4月1日,なし,なし,なし,あり
一般社団法人 ソース,ソース三国ヶ丘,590-0024,大阪府堺市堺区向陵中町四丁5-27 中谷ビル202号,堺区,072-242-8083,072-242-8591,就労移行支援（一般型）,2716002445,平成31年1月1日,あり,あり,なし,あり
ハート株式会社,ＨＯＰＥオフィス堺,590-0076,大阪府堺市堺区北瓦町二丁4番18号 現代堺東駅前ビル5F,堺区,072-275-6767,072-275-6765,就労移行支援（一般型）,2716003351,令和6年4月1日,なし,あり,なし,あり
株式会社 ＬＩＴＡＬＩＣＯパートナーズ,ＬＩＴＡＬＩＣＯワークス堺東,590-0077,大阪府堺市堺区中瓦町一丁4-24 堺東EH第三ビル8F,堺区,072-225-5615,072-225-5616,就労移行支援（一般型）,2716002759,令和2年9月1日,あり,あり,なし,あり
一般社団法人ソース,ソース堺東,590-0079,大阪府堺市堺区新町3番7号 ＳＴＣビル6階,堺区,072-225-1010,072-225-0035,就労移行支援（一般型）,2716002239,平成29年12月1日,あり,あり,なし,あり
株式会社ｍｏｏｂｌｅ,ＣＯＮＮＥＣＴ堺東,590-0079,大阪府堺市堺区新町四丁7 材庄ビル3階AB号室,堺区,072-242-3377,072-242-3378,就労移行支援（一般型）,2716003419,令和6年7月1日,あり,あり,なし,あり
プロスパー 株式会社,ドルフィンラブ,590-0952,大阪府堺市堺区市之町東五丁2番11号-201号,堺区,072-225-5173,072-225-5174,就労移行支援（一般型）,2716002015,平成28年9月1日,あり,あり,なし,あり
特定非営利活動法人 クロスジョブ,クロスジョブ堺,590-0952,大阪府堺市堺区市之町東六丁2番16号 堺東ＥＨ第二ビル2階,堺区,072-225-1540,072-225-1541,就労移行支援（一般型）,2716000878,平成22年4月1日,あり,あり,なし,あり
株式会社ＬＩＴＡＬＩＣＯパートナーズ,ＬＩＴＡＬＩＣＯワークス南海堺,590-0985,大阪府堺市堺区戎島町四丁45-1 ポルタスセンタービル2階,堺区,072-225-5527,072-225-5528,就労移行支援（一般型）,2716003195,令和5年6月1日,あり,あり,なし,あり
株式会社はるかぜコミュニケーション,アン・デ・プルミエ,590-0011,大阪府堺市堺区香ヶ丘町一丁5番32号 B棟,堺区,072-238-2335,072-238-2339,就労継続支援（Ａ型）,2716003328,令和6年3月1日,あり,あり,なし,あり
公益財団法人浅香山病院,アンダンテ就労ステーション,590-0018,大阪府堺市堺区今池町三丁3番16号,堺区,072-229-9192,072-223-5119,就労継続支援（Ａ型）,2716000670,平成24年11月1日,なし,なし,なし,あり
株式会社 エル,ステップ,590-0024,大阪府堺市堺区向陵中町二丁4番13号 エイコープラザビル305号,堺区,072-240-2347,072-240-2348,就労継続支援（Ａ型）,2716001876,平成28年2月1日,あり,あり,なし,あり
株式会社Ｂ．Ｉ．Ｙ,リアンス,590-0024,大阪府堺市堺区向陵中町二丁6番10号 三国ロイヤルビル2階,堺区,072-269-4802,072-269-4803,就労継続支援（Ａ型）,2716003336,令和6年4月1日,あり,あり,なし,あり
株式会社ＳＵＮＲＩＳＥ,ライズ堺,590-0063,大阪府堺市堺区中安井町三丁4-11-4F,堺区,072-275-5835,072-275-6128,就労継続支援（Ａ型）,2716003450,令和6年11月1日,あり,あり,なし,あり
社会福祉法人 三篠会,就労継続支援事業所 松屋茶論,590-0902,大阪府堺市堺区松屋大和川通一丁13番1,堺区,072-227-8220,072-227-8240,就労継続支援（Ａ型）,2716003112,令和4年11月1日,あり,あり,なし,あり
特定非営利活動法人みらい,就労支援センターみらい,590-0906,大阪府堺市堺区三宝町六丁309番地1,堺区,072-229-4400,072-229-8500,就労継続支援（Ａ型）,2716002163,平成29年8月1日,あり,あり,なし,あり
株式会社 ウエストサービス,ライズ堺東,590-0946,大阪府堺市堺区熊野町東四丁2番9号 はるか三恵1階,堺区,072-222-9877,072-222-9877,就労継続支援（Ａ型）,2716001843,平成27年12月1日,あり,あり,なし,あり
プロスパー 株式会社,ドルフィンアイ,590-0950,大阪府堺市堺区甲斐町西二丁2番27号,堺区,072-282-7871,072-282-7872,就労継続支援（Ａ型）,2716001967,平成28年6月1日,あり,あり,なし,あり
プロスパー 株式会社,ドルフィンハート,590-0952,大阪府堺市堺区市之町東一丁2-14 5F,堺区,072-247-9671,072-247-9196,就労継続支援（Ａ型）,2716001728,平成27年3月1日,あり,あり,なし,あり
社会福祉法人 天照会,みらいじゅ堺,590-0954,大阪府堺市堺区大町東一丁2番21号,堺区,072-247-9893,072-247-9894,就労継続支援（Ａ型）,2716003013,令和4年4月1日,あり,あり,なし,あり
特定非営利活動法人フェニックス会,リング,590-0001,大阪府堺市堺区遠里小野町二丁1番3号,堺区,072-238-6722,072-238-6722,就労継続支援（Ｂ型）,2716002296,平成30年7月1日,なし,なし,なし,あり
特定非営利活動法人 アース,しあわせ作業所,590-0003,大阪府堺市堺区高須町三丁1番19号,堺区,072-255-7000,072-283-9188,就労継続支援（Ｂ型）,2716002460,平成31年2月1日,あり,あり,なし,あり
株式会社 アイスマイル,ワークスペース・ニコライズ,590-0005,大阪府堺市堺区南清水町一丁1番28号,堺区,072-246-9944,072-246-9984,就労継続支援（Ｂ型）,2716001991,令和3年1月1日,あり,あり,なし,あり
株式会社ワークプラス,ワークプラスはるかぜ,590-0006,大阪府堺市堺区錦綾町三丁7番5号,堺区,072-222-2733,072-222-2744,就労継続支援（Ｂ型）,2716002098,平成29年4月1日,あり,あり,なし,あり
社会福祉法人 たんぽぽひろば,おべんとうハウス愛,590-0006,大阪府堺市堺区錦綾町3-5-17,堺区,072-221-8885,072-221-8883,就労継続支援（Ｂ型）,2716001579,平成26年4月1日,なし,なし,なし,あり
特定非営利活動法人 あいらぶ,自遊工房,590-0007,大阪府堺市堺区北庄町一丁6番24号,堺区,072-227-8950,072-227-8950,就労継続支援（Ｂ型）,2716000944,平成22年12月1日,あり,あり,なし,あり
ＭＭＲ泉 株式会社,めぐみの作業所,590-0011,大阪府堺市堺区香ヶ丘町二丁7番1号,堺区,072-232-7887,072-232-7888,就労継続支援（Ｂ型）,2716003039,令和4年5月1日,あり,あり,なし,あり
ＮＰＯ法人ｋｏｋｏｉｍａ,おめでたい,590-0011,大阪府堺市堺区香ケ丘町一丁9番1号,堺区,072-220-5458,072-220-5458,就労継続支援（Ｂ型）,2716002155,平成29年8月1日,あり,あり,なし,あり
株式会社 はるかぜコミュニケーション,はるかぜ作業所,590-0011,大阪府堺市堺区香ヶ丘町一丁4番9号,堺区,072-225-2311,072-225-2312,就労継続支援（Ｂ型）,2716002585,令和元年6月1日,あり,あり,なし,あり
合資会社 パラメディカル,かんぎ作業所,590-0011,大阪府堺市堺区香ケ丘町四丁7番7号,堺区,072-275-7771,072-275-6150,就労継続支援（Ｂ型）,2716001504,平成25年9月1日,あり,あり,なし,あり
有限会社 アムジー,ハッピーポケット,590-0011,大阪府堺市堺区香ケ丘町四丁2番38号,堺区,072-232-5717,072-202-0696,就労継続支援（Ｂ型）,2716001538,平成25年11月1日,なし,あり,なし,あり
一般社団法人 じん,ルーチェ,590-0013,大阪府堺市堺区東雲西町四丁2番2号,堺区,072-247-7888,072-247-7999,就労継続支援（Ｂ型）,2716001926,平成28年3月1日,あり,あり,なし,あり
社会福祉法人 あいわ福祉会,愛和・生活の家,590-0013,大阪府堺市堺区東雲西町四丁7番18号,堺区,072-221-1751,072-221-1759,就労継続支援（Ｂ型）,2716000738,平成21年1月1日,なし,あり,なし,なし
社会福祉法人 朋志美会,しののめハウス,590-0013,大阪府堺市堺区東雲西町四丁7番2号,堺区,072-222-5131,072-222-5202,就労継続支援（Ｂ型）,2716500323,平成19年4月1日,なし,なし,なし,あり
株式会社 Ａｖｅｉｒｅ,Ｓｕｎｎｙ,590-0014,大阪府堺市堺区田出井町1番2-508号,堺区,072-232-7767,072-232-7768,就労継続支援（Ｂ型）,2716002692,令和2年3月1日,なし,あり,なし,あり
公益財団法人浅香山病院,アンダンテ就労ステーション,590-0018,大阪府堺市堺区今池町三丁3番16号,堺区,072-229-9192,072-223-5119,就労継続支援（Ｂ型）,2716000670,平成20年4月1日,なし,なし,なし,あり
株式会社 祐志,アシスト,590-0025,大阪府堺市堺区向陵東町三丁8-46,堺区,072-247-8638,072-275-4516,就労継続支援（Ｂ型）,2716002965,令和3年12月1日,あり,あり,なし,あり
特定非営利活動法人 フェニックス会,むげん,590-0027,大阪府堺市堺区榎元町四丁1番11号,堺区,072-220-7512,072-220-7512,就労継続支援（Ｂ型）,2716000852,平成22年3月1日,なし,なし,なし,あり
一般社団法人 フューチャー,あお空事業所,590-0048,大阪府堺市堺区一条通11番25号 ライズO.T.MBld.202号室,堺区,072-221-0567,072-221-0568,就労継続支援（Ｂ型）,2716002718,令和2年5月1日,あり,あり,なし,あり
合同会社スタート,りあんわーくす,590-0048,大阪府堺市堺区一条通19番6号,堺区,072-370-2357,072-370-2357,就労継続支援（Ｂ型）,2716003294,令和5年11月1日,なし,あり,なし,あり
特定非営利活動法人 きらっと,きらっと,590-0052,大阪府堺市堺区八千代通3番26号,堺区,072-230-4198,072-256-4021,就労継続支援（Ｂ型）,2716001413,平成25年4月1日,なし,あり,なし,あり
社会福祉法人 ユウの家,ワークスユウの家,590-0055,大阪府堺市堺区旭通3番21号,堺区,072-229-2886,072-350-3859,就労継続支援（Ｂ型）,2716001447,平成25年4月1日,あり,あり,なし,あり
社会福祉法人 ユウの家,アトリエユウの家,590-0056,大阪府堺市堺区神保通3番7号,堺区,072-238-2700,072-238-2778,就労継続支援（Ｂ型）,2716001439,平成25年4月1日,あり,あり,なし,あり
株式会社五大,アトラス,590-0061,大阪府堺市堺区翁橋町一丁1番1号 ミナルコビル3階,堺区,072-275-5908,072-275-5909,就労継続支援（Ｂ型）,2716002197,平成29年11月1日,あり,あり,なし,あり
合同会社アルファプラス,アルファプラス,590-0061,大阪府堺市堺区翁橋町一丁1-1 ミナルコビル201号,堺区,072-225-1701,072-225-1702,就労継続支援（Ｂ型）,2716003377,令和6年5月1日,あり,あり,なし,あり
株式会社ａｄｖａｎｃｅ,すずらんアニメーションスタジオｗｉｔｈ ｅスポーツ堺東,590-0063,大阪府堺市堺区中安井町三丁2-13 グラン堺東6階,堺区,072-242-3725,072-242-3726,就労継続支援（Ｂ型）,2716003484,令和6年12月1日,あり,あり,なし,あり
一般社団法人共遊会,ばんぶぅ～作業所,590-0074,大阪府堺市堺区北花田口町三丁1-27白山ビル2Ｆ,堺区,072-201-2351,072-202-2351,就労継続支援（Ｂ型）,2716000969,平成23年5月1日,あり,あり,なし,あり
ハート株式会社,ＨＯＰＥオフィス堺,590-0076,大阪府堺市堺区北瓦町二丁4番18号 現代堺東駅前ビル5F,堺区,072-275-6767,072-275-6765,就労継続支援（Ｂ型）,2716003351,令和6年4月1日,なし,あり,なし,あり
株式会社ＹＫ,ラシクラボ大阪堺,590-0076,大阪府堺市堺区北瓦町二丁3番8号堺東北條第二ビル7階A号室,堺区,072-275-6198,072-275-6198,就労継続支援（Ｂ型）,2716003260,令和5年8月1日,あり,あり,なし,あり
社会福祉法人コスモス,ジョブサポート風の彩（森のキッチン）,590-0078,大阪府堺市堺区南瓦町3番1号 堺市役所本館地下１階,堺区,072-228-3939,072-228-3938,就労継続支援（Ｂ型）,2716500752,平成24年4月1日,あり,あり,なし,あり
株式会社ＨＩＴ’Ｓ－Ｖ,にじげん堺東駅前,590-0079,大阪府堺市堺区新町三丁7 ＳＴＣビル2階 中南,堺区,072-242-8811,072-242-8845,就労継続支援（Ｂ型）,2716003302,令和6年3月1日,なし,なし,なし,あり
株式会社縁,就労継続支援Ｂ型事業所 くくる,590-0807,大阪府堺市堺区旭ヶ丘南町三丁2-31,堺区,072-245-9838,072-245-9839,就労継続支援（Ｂ型）,2716003443,令和6年10月1日,あり,あり,なし,あり
一般社団法人 ＣｒｏｓｓＬｉｎｋ,作業所和っ哈,590-0809,大阪府堺市堺区旭ヶ丘北町一丁2番11号 第三和伸ビル1階,堺区,072-245-6023,072-245-6023,就労継続支援（Ｂ型）,2716002924,令和3年7月1日,あり,あり,なし,あり
社会福祉法人 サワリ,グレースハウス,590-0811,大阪府堺市堺区南陵町一丁2番6号,堺区,072-280-0830,072-241-7772,就労継続支援（Ｂ型）,2716001587,平成26年4月1日,あり,あり,なし,あり
社会福祉法人麦の会,麦の会共同作業所,590-0813,大阪府堺市堺区神石市之町16番52号,堺区,072-264-6407,072-201-1164,就労継続支援（Ｂ型）,2716001041,平成23年8月1日,あり,あり,なし,あり
株式会社シックスボックス,くまのこ（くまふぁく）,590-0821,大阪府堺市堺区大仙西町五丁131-3 ベルメゾン御陵101,堺区,072-244-5336,072-277-4288,就労継続支援（Ｂ型）,2716501552,平成30年10月1日,あり,あり,なし,あり
株式会社 ブレイブ,ライズ石津,590-0823,大阪府堺市堺区石津北町112番,堺区,072-247-2012,072-247-1801,就労継続支援（Ｂ型）,2716001918,平成28年3月1日,あり,あり,なし,あり
社会福祉法人 コスモス,おおはま障害者作業所,590-0829,大阪府堺市堺区東湊町五丁276番,堺区,072-241-1900,072-241-1901,就労継続支援（Ｂ型）,2716000498,平成21年4月1日,なし,あり,なし,なし
特定非営利活動法人 Ｂａｎｄｅ,リリー,590-0833,大阪府堺市堺区出島海岸通二丁9-13 1F,堺区,072-245-9623,072-245-9623,就労継続支援（Ｂ型）,2716003047,令和4年5月1日,あり,あり,なし,あり
社会福祉法人風の馬,ＧＡＲＯ＜作業所雅老＞,590-0836,大阪府堺市堺区楠町二丁1番20号,堺区,072-245-8807,072-245-8802,就労継続支援（Ｂ型）,2716002213,平成29年11月1日,あり,なし,なし,あり
特定非営利活動法人 堺エコネットワーク協議会,しゅくやジョブ,590-0937,大阪府堺市堺区宿屋町西一丁1番6号,堺区,072-247-8338,072-247-8338,就労継続支援（Ｂ型）,2716002700,令和2年4月1日,あり,あり,なし,あり
ＮＰＯ法人 さくら,ＰＩＣＮＩＣ,590-0938,大阪府堺市堺区神明町西一丁1番7号 ロイヤルパレス1階,堺区,072-228-0171,072-242-7370,就労継続支援（Ｂ型）,2716001892,平成28年3月1日,あり,あり,なし,あり
プロスパー 株式会社,ドルフィンラブ,590-0952,大阪府堺市堺区市之町東五丁2番11号-201号,堺区,072-225-5173,072-225-5174,就労継続支援（Ｂ型）,2716002015,平成28年9月1日,あり,あり,なし,あり
株式会社 輝映,就労継続支援Ｂ型Ｒｉｃｃｏ,590-0953,大阪府堺市堺区甲斐町東二丁1-11,堺区,072-275-5489,072-275-5489,就労継続支援（Ｂ型）,2716002767,令和2年9月1日,なし,あり,なし,なし
株式会社クロストーク,Ｆｕｎ ｆｒｉｅｎｄｓ,590-0954,大阪府堺市堺区大町東二丁2-4,堺区,072-247-8552,072-247-8552,就労継続支援（Ｂ型）,2716003211,令和5年7月1日,あり,あり,なし,あり
社会福祉法人 なごみ福祉会,Ｙｏｕ・Ｉハウス,590-0954,大阪府堺市堺区大町東一丁1番8号,堺区,072-222-0302,072-222-0302,就労継続支援（Ｂ型）,2716000910,平成22年7月1日,なし,なし,なし,あり
株式会社 ＪＣＣ,就労継続支援Ｂ型事業所ｃｏｃｏ－ｓｕｐｐｏｒｔ,590-0957,大阪府堺市堺区中之町西三丁2番29号 中之町ＴＫハイツ1Ａ,堺区,072-443-4556,072-444-3100,就労継続支援（Ｂ型）,2716002940,令和3年10月1日,あり,あり,なし,あり
特定非営利活動法人 南大阪自立支援センター,どりぃむワーク,590-0963,大阪府堺市堺区少林寺町東一丁1番7号 クレスト大津Ⅱ101,堺区,072-228-2882,072-228-2883,就労継続支援（Ｂ型）,2716001850,平成27年12月1日,あり,あり,なし,あり
特定非営利活動法人南大阪自立支援センター,ともにーしょうりんじ,590-0963,大阪府堺市堺区少林寺町東二丁2番3号,堺区,072-238-4915,072-238-8473,就労継続支援（Ｂ型）,2716001082,平成23年11月1日,なし,あり,なし,あり
合同会社 仁徳,Ｗ．Ｐ．にんとく,590-0964,大阪府堺市堺区新在家町東二丁1-23,堺区,072-224-3000,072-224-3000,就労継続支援（Ｂ型）,2716002569,平成31年4月1日,あり,あり,なし,あり
一般社団法人 シンシア,就労継続支援Ｂ型事業所ラポール,590-0971,大阪府堺市堺区栄橋町一丁6-5,堺区,072-275-9751,072-275-9752,就労継続支援（Ｂ型）,2716002668,令和2年1月1日,あり,あり,なし,あり
ＲＥＴＲＩＥＶＥ ＨＯＵＳＥ株式会社,リトハウス堺,590-0985,大阪府堺市堺区戎島町四丁45番地1 ポルタス・センタービル5階,堺区,072-232-0011,072-232-0012,就労継続支援（Ｂ型）,2716501610,令和6年10月1日,あり,あり,なし,あり
特定非営利活動法人 こうせん,ワークステーションこうせん大野芝,599-8233,大阪府堺市中区大野芝町273番地1,中区,072-290-7427,072-290-7428,生活介護,2716102013,令和元年12月1日,あり,あり,なし,あり
シャローム 株式会社,やすらぎの介護シャローム晴れる家,599-8234,大阪府堺市中区土塔町2044-60,中区,072-234-8011,072-234-8815,生活介護,2716102104,令和2年4月1日,あり,なし,なし,なし
株式会社 キャン,キャン・ベル,599-8234,大阪府堺市中区土塔町2484番地,中区,072-284-7752,072-284-7907,生活介護,2716101411,平成28年4月1日,あり,あり,なし,あり
株式会社 ＰＥＡＣＥ,共生型デイサービスカラーピース,599-8236,大阪府堺市中区深井沢町3256番地,中区,072-242-8227,072-242-8226,生活介護,2716102021,令和元年12月1日,あり,あり,なし,あり
株式会社 ゆずの佳,ゆずスタ,599-8238,大阪府堺市中区土師町三丁32-32,中区,072-260-4271,072-260-4272,生活介護,2716101270,平成27年4月1日,あり,あり,なし,あり
社会福祉法人 自立支援協会,たまごハウス,599-8238,大阪府堺市中区土師町二丁33番37号,中区,072-281-4330,072-281-4350,生活介護,2716102377,令和4年5月1日,あり,あり,なし,あり
社会福祉法人ピノキオ福祉会,ピノキオ作業所,599-8238,大阪府堺市中区土師町三丁32番27号,中区,072-260-9625,072-260-9626,生活介護,2716100751,令和5年7月1日,なし,あり,なし,なし
有限会社ＫＡＴＥ,デイサービスセンターなの花,599-8238,大阪府堺市中区土師町一丁12番25号,中区,072-276-0256,072-276-0258,生活介護,2716101775,平成30年6月1日,あり,あり,なし,あり
ＮＰＯ法人ヘッドウェイさかい,ヘッドウェイ堺,599-8241,大阪府堺市中区福田91番地,中区,072-235-2458,072-235-2478,生活介護,2716101593,平成29年6月1日,あり,あり,なし,あり
合同会社円池会,レイクファーム陶器北,599-8242,大阪府堺市中区陶器北684-9,中区,072-276-1170,072-276-1175,生活介護,2716101742,令和6年1月1日,なし,あり,なし,なし
社会福祉法人 堺あけぼの福祉会,楽「あけぼの」,599-8244,大阪府堺市中区上之838-1,中区,072-234-6052,072-234-6053,生活介護,2716102237,令和3年4月1日,あり,なし,なし,なし
社会福祉法人堺あけぼの福祉会,集い「あけぼの」,599-8244,大阪府堺市中区上之853番地1,中区,072-239-6787,072-289-6383,生活介護,2716100017,平成18年10月1日,あり,なし,なし,なし
社会福祉法人堺あけぼの福祉会,紬「あけぼの」,599-8244,大阪府堺市中区上之837,中区,072-289-6929,072-289-6930,生活介護,2716101767,平成30年4月1日,あり,なし,なし,なし
株式会社 inC,インク,599-8247,大阪府堺市中区東山477番地2,中区,072-234-5900,072-234-5901,生活介護,2716102120,令和6年4月1日,あり,あり,なし,あり
社会福祉法人 きぼうの会,きぼうの風,599-8247,大阪府堺市中区東山107番地2,中区,072-237-7180,072-234-3222,生活介護,2716100504,平成20年3月1日,あり,あり,なし,あり
社会福祉法人 障友会,くるみの樹,599-8247,大阪府堺市中区東山252-6,中区,072-289-1235,072-289-1177,生活介護,2716100488,平成20年1月1日,なし,あり,なし,なし
社会福祉法人 障友会,堺みなみ,599-8251,大阪府堺市中区平井671番地2,中区,072-278-5681,072-278-5682,生活介護,2716100496,平成20年1月1日,なし,あり,なし,なし
社会福祉法人 南湖会,ボンの山作業所,599-8251,大阪府堺市中区平井482番地,中区,072-276-0160,072-277-0325,生活介護,2716100579,平成21年5月1日,あり,あり,なし,なし
